,Z_est,Z_est_lagged,X_t_fd_1,X_t_fd_2,X_t_fd_3,X_t_fd_4,Y_t_fd_1,Y_t_fd_2,Y_t_fd_3,Y_t_fd_4,X_t_fd,Y_t_fd
0,778.0349579189351,,,,,,,,,,,
1,758.7486644386008,778.0349579189351,,,,,,,,,511.3000000000029,320.79999999999563
2,618.5662477744772,758.7486644386008,511.3000000000029,,,,320.79999999999563,,,,601.1999999999971,259.70000000000437
3,561.2152414982556,618.5662477744772,601.1999999999971,511.3000000000029,,,259.70000000000437,320.79999999999563,,,687.3000000000029,399.79999999999563
4,56.22604897109704,561.2152414982556,687.3000000000029,601.1999999999971,511.3000000000029,,399.79999999999563,259.70000000000437,320.79999999999563,,1055.3999999999942,197.0
5,-43.34015848530544,56.22604897109704,1055.3999999999942,687.3000000000029,601.1999999999971,511.3000000000029,197.0,399.79999999999563,259.70000000000437,320.79999999999563,873.9000000000087,481.70000000000437
6,111.7960147128324,-43.34015848530544,873.9000000000087,1055.3999999999942,687.3000000000029,601.1999999999971,481.70000000000437,197.0,399.79999999999563,259.70000000000437,678.8999999999942,606.6999999999971
7,-127.99894765132922,111.7960147128324,678.8999999999942,873.9000000000087,1055.3999999999942,687.3000000000029,606.6999999999971,481.70000000000437,197.0,399.79999999999563,658.5,198.1999999999971
8,-120.11094269933528,-127.99894765132922,658.5,678.8999999999942,873.9000000000087,1055.3999999999942,198.1999999999971,606.6999999999971,481.70000000000437,197.0,843.8999999999942,569.2000000000044
9,187.5556333595523,-120.11094269933528,843.8999999999942,658.5,678.8999999999942,873.9000000000087,569.2000000000044,198.1999999999971,606.6999999999971,481.70000000000437,633.3000000000029,728.9000000000015
10,-330.3064834718025,187.5556333595523,633.3000000000029,843.8999999999942,658.5,678.8999999999942,728.9000000000015,569.2000000000044,198.1999999999971,606.6999999999971,1051.300000000003,181.39999999999418
11,-198.55846651660977,-330.3064834718025,1051.300000000003,633.3000000000029,843.8999999999942,658.5,181.39999999999418,728.9000000000015,569.2000000000044,198.1999999999971,708.5,603.0
12,724.6776134050451,-198.55846651660977,708.5,1051.300000000003,633.3000000000029,843.8999999999942,603.0,181.39999999999418,728.9000000000015,569.2000000000044,-435.0,633.9000000000015
13,62.335154479522316,724.6776134050451,-435.0,708.5,1051.300000000003,633.3000000000029,633.9000000000015,603.0,181.39999999999418,728.9000000000015,911.3000000000029,-56.19999999999709
14,-46.9235141541285,62.335154479522316,911.3000000000029,-435.0,708.5,1051.300000000003,-56.19999999999709,633.9000000000015,603.0,181.39999999999418,311.0,97.59999999999854
15,-36.62775556975248,-46.9235141541285,311.0,911.3000000000029,-435.0,708.5,97.59999999999854,-56.19999999999709,633.9000000000015,603.0,1023.6999999999971,691.1999999999971
16,-399.6398428934772,-36.62775556975248,1023.6999999999971,311.0,911.3000000000029,-435.0,691.1999999999971,97.59999999999854,-56.19999999999709,633.9000000000015,385.1999999999971,-106.79999999999563
17,-102.5420112402935,-399.6398428934772,385.1999999999971,1023.6999999999971,311.0,911.3000000000029,-106.79999999999563,691.1999999999971,97.59999999999854,-56.19999999999709,-700.3000000000029,-168.70000000000437
18,278.9169634779246,-102.5420112402935,-700.3000000000029,385.1999999999971,1023.6999999999971,311.0,-168.70000000000437,-106.79999999999563,691.1999999999971,97.59999999999854,235.20000000001164,537.9000000000015
19,706.4685209065356,278.9169634779246,235.20000000001164,-700.3000000000029,385.1999999999971,1023.6999999999971,537.9000000000015,-168.70000000000437,-106.79999999999563,691.1999999999971,426.8999999999942,711.5
20,-414.1324553616796,706.4685209065356,426.8999999999942,235.20000000001164,-700.3000000000029,385.1999999999971,711.5,537.9000000000015,-168.70000000000437,-106.79999999999563,348.8000000000029,-888.5999999999985
21,460.5774656167632,-414.1324553616796,348.8000000000029,426.8999999999942,235.20000000001164,-700.3000000000029,-888.5999999999985,711.5,537.9000000000015,-168.70000000000437,224.89999999999418,1024.300000000003
22,175.96641657876899,460.5774656167632,224.89999999999418,348.8000000000029,426.8999999999942,235.20000000001164,1024.300000000003,-888.5999999999985,711.5,537.9000000000015,669.8000000000029,160.89999999999418
23,584.7653475344632,175.96641657876899,669.8000000000029,224.89999999999418,348.8000000000029,426.8999999999942,160.89999999999418,1024.300000000003,-888.5999999999985,711.5,-437.5,117.80000000000291
24,174.09624053084553,584.7653475344632,-437.5,669.8000000000029,224.89999999999418,348.8000000000029,117.80000000000291,160.89999999999418,1024.300000000003,-888.5999999999985,1090.3999999999942,314.59999999999854
25,-36.89780558110215,174.09624053084553,1090.3999999999942,-437.5,669.8000000000029,224.89999999999418,314.59999999999854,117.80000000000291,160.89999999999418,1024.300000000003,986.7000000000116,445.3000000000029
26,-309.5886470620171,-36.89780558110215,986.7000000000116,1090.3999999999942,-437.5,669.8000000000029,445.3000000000029,314.59999999999854,117.80000000000291,160.89999999999418,661.1999999999971,167.09999999999854
27,-674.1918814508608,-309.5886470620171,661.1999999999971,986.7000000000116,1090.3999999999942,-437.5,167.09999999999854,445.3000000000029,314.59999999999854,117.80000000000291,827.8000000000029,186.0
28,-380.025275133783,-674.1918814508608,827.8000000000029,661.1999999999971,986.7000000000116,1090.3999999999942,186.0,167.09999999999854,445.3000000000029,314.59999999999854,458.59999999999127,599.1999999999971
29,-369.7406281053045,-380.025275133783,458.59999999999127,827.8000000000029,661.1999999999971,986.7000000000116,599.1999999999971,186.0,167.09999999999854,445.3000000000029,732.5,497.5
